City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
83,sao joao da barra,-21.6403,-41.0511,73.49,88,3,4.18,BR,1682987527
84,fomboni,-12.28,43.7425,81.5,66,19,13.58,KM,1682987527
85,kununurra,-15.7667,128.7333,80.58,39,96,13.8,AU,1682987528
86,iskateley,67.6803,53.1512,35.29,100,100,15.68,RU,1682987528
87,saudarkrokur,65.7461,-19.6394,32.79,85,32,0.36,IS,1682987528
88,biloela,-24.4167,150.5,73.65,31,100,3.78,AU,1682987528
89,uturoa,-16.7333,-151.4333,82.56,76,100,15.5,PF,1682987528
90,fortuna,40.5982,-124.1573,53.98,75,100,10.94,US,1682987528
91,stanthorpe,-28.6667,151.95,55.42,64,100,12.35,AU,1682987529
92,bomdila,27.25,92.4,50.54,91,100,1.12,IN,1682987529
93,ta`u,-14.2336,-169.5144,81.95,79,43,24.96,AS,1682987529
94,lorengau,-2.0226,147.2712,82.38,82,100,7.72,PG,1682987529
95,lompoc,34.6391,-120.4579,61.02,73,75,13.8,US,1682987479
96,taroa,8.7058,171.2275,81.63,81,100,21.14,MH,1682987529
97,qionghu,28.843,112.3522,66.02,83,100,6.33,CN,1682987529
98,colonia,50.9333,6.95,53.96,85,75,1.14,DE,1682987397
99,malango,-2.9627,119.9001,75.22,85,92,0.83,ID,1682987530
100,aksaray,38.3726,34.0254,45.54,55,53,4.54,TR,1682987530
101,umm kaddadah,13.6017,26.6876,81.99,15,8,10.54,SD,1682987530
102,fort-shevchenko,44.5086,50.263,57.69,90,100,25.97,KZ,1682987530
103,mashhad,36.297,59.6062,60.94,55,0,0.0,IR,1682987531
104,qaqortoq,60.7167,-46.0333,34.63,69,100,7.52,GL,1682987531
105,carhaix-plouguer,48.2759,-3.5733,44.01,96,51,2.39,FR,1682987531
106,vadso,70.0744,29.7487,34.68,86,100,17.27,NO,1682987531
107,vila franca do campo,37.7167,-25.4333,63.01,86,100,11.45,PT,1682987531
108,puerto baquerizo moreno,-0.9,-89.6,79.92,77,40,4.56,EC,1682987531
109,avarua,-21.2078,-159.775,77.05,73,75,8.05,CK,1682987531
110,touros,-5.1989,-35.4608,77.05,81,38,7.94,BR,1682987532
111,lionel town,17.8101,-77.2406,84.09,83,89,6.93,JM,1682987532
112,kolonia,50.9333,6.95,53.96,85,75,1.99,DE,1682987435
113,taber,49.8167,-112.1518,79.65,18,7,20.71,CA,1682987532
114,puerto ayora,-0.7393,-90.3518,79.56,91,12,4.56,EC,1682987532
115,longyearbyen,78.2186,15.6401,4.84,72,20,3.44,SJ,1682987532
116,mangai,-4.05,19.5333,68.43,95,75,0.72,CD,1682987533
117,vizinga,61.0749,50.1031,46.78,93,100,9.22,RU,1682987533
118,igatpuri,19.7,73.55,71.31,73,98,1.14,IN,1682987533
119,antsiranana,-12.2787,49.2917,73.58,83,15,6.8,MG,1682987533
120,codrington,-38.2667,141.9667,59.63,75,72,15.19,AU,1682987533
121,acapulco de juarez,16.8634,-99.8901,85.82,66,100,10.36,MX,1682987421
122,thompson,55.7435,-97.8558,53.76,26,20,5.75,CA,1682987534
123,macae,-22.3708,-41.7869,74.95,94,0,2.3,BR,1682987534
124,hashtrud,37.4779,47.0508,41.74,72,52,4.94,IR,1682987534
125,labrador city,52.9463,-66.9114,44.51,39,75,10.36,CA,1682987534
126,mesquite,32.7668,-96.5992,75.15,36,0,4.61,US,1682987478
127,enewetak,11.3474,162.3373,81.01,83,67,22.32,MH,1682987534
128,poptun,16.3311,-89.4169,72.7,82,100,7.05,GT,1682987535
129,buenaventura,3.8801,-77.0312,77.86,91,100,1.23,CO,1682987535
130,san luis de la loma,17.2706,-100.8939,80.26,66,0,5.77,MX,1682987535
131,caucete,-31.6518,-68.2811,56.84,42,0,5.79,AR,1682987535
132,vernon,50.2581,-119.2691,78.12,39,96,8.99,CA,1682987302
133,sadat,25.6833,83.2833,74.19,69,9,8.34,IN,1682987535
134,lihue,21.9789,-159.3672,80.19,73,20,9.22,US,1682987536
135,homer,59.6425,-151.5483,43.81,73,75,8.99,US,1682987536
136,hami,42.8,93.45,61.3,30,100,5.64,CN,1682987536
137,bealanana,-14.55,48.7333,59.5,96,100,1.74,MG,1682987536
138,alice springs,-23.7,133.8833,62.15,42,99,3.44,AU,1682987536
139,mount isa,-20.7333,139.5,73.17,28,19,9.22,AU,1682987536
140,aasiaat,68.7098,-52.8699,15.71,86,5,4.79,GL,1682987537
141,taoudenni,22.6783,-3.9836,93.94,6,0,5.17,ML,1682987537
142,san patricio,28.017,-97.5169,78.75,73,52,12.62,US,1682987537
143,iqaluit,63.7506,-68.5145,28.13,86,100,5.75,CA,1682987537
144,mount pearl,47.5166,-52.7813,34.84,92,100,8.05,CA,1682987537
145,saint-philippe,-21.3585,55.7679,72.99,82,34,2.08,RE,1682987537
146,outjo,-20.1167,16.15,69.48,44,95,7.58,NA,1682987538
147,punta arenas,-53.15,-70.9167,42.91,75,20,34.52,CL,1682987291
148,cabo san lucas,22.8909,-109.9124,88.9,60,40,18.41,MX,1682987349
149,puerto ayacucho,5.6639,-67.6236,82.6,68,54,4.88,VE,1682987538
150,pechory,57.8164,27.6119,45.86,71,100,9.55,RU,1682987538
151,dunedin,-45.8742,170.5036,57.79,82,80,11.99,NZ,1682987412
152,kiama,-34.6833,150.8667,68.38,59,6,13.0,AU,1682987538
153,luderitz,-26.6481,15.1594,56.12,72,0,8.46,NA,1682987539
154,copiapo,-27.3667,-70.3333,55.09,71,0,0.76,CL,1682987539
155,whitehorse,60.7161,-135.0538,54.37,40,75,13.8,CA,1682987521
156,belmonte,-15.8631,-38.8828,75.67,87,97,3.09,BR,1682987539
157,yarmouth,41.7057,-70.2286,54.07,77,40,10.36,US,1682987539
158,nemuro,43.3236,145.575,39.92,74,0,8.25,JP,1682987539
159,dompu,-8.5356,118.4622,82.62,77,50,3.38,ID,1682987540
160,beau vallon,-20.4189,57.6953,76.21,94,20,3.44,MU,1682987540
161,georgetown,5.4112,100.3354,80.55,90,20,4.61,MY,1682987416
162,dishna,26.1247,32.476,68.54,20,0,4.36,EG,1682987540
163,nar'yan-mar,67.6713,53.087,35.4,100,100,15.7,RU,1682987540
164,broome,42.2506,-75.833,45.19,90,100,6.91,US,1682987540
165,salekhard,66.53,66.6019,24.6,95,100,9.1,RU,1682987541
166,tweed heads,-28.1817,153.547,70.0,42,100,2.3,AU,1682987287
167,cheria,35.2731,7.7519,50.22,84,9,7.7,DZ,1682987541
168,olyokminsk,60.3736,120.4264,39.09,62,3,4.81,RU,1682987541
169,kapa'a,22.0752,-159.319,80.92,73,20,9.22,US,1682987541
170,san francisco,37.7749,-122.4194,57.76,77,75,28.77,US,1682987393
171,guadix,37.2993,-3.1392,65.3,23,88,3.4,ES,1682987541
172,markaz-e hukumat-e darweshan,31.1323,64.1934,72.52,40,12,4.99,AF,1682987542
173,nikolayevsk-on-amure,53.1406,140.73,40.23,76,100,2.48,RU,1682987542
174,ust-nera,64.5667,143.2,29.12,83,100,4.36,RU,1682987542
175,as sulayyil,20.4607,45.5779,82.65,23,6,7.78,SA,1682987542
176,robore,-18.3333,-59.75,75.24,84,7,4.05,BO,1682987542
177,vilyuysk,63.7553,121.6247,33.64,100,100,7.58,RU,1682987542
178,athens,37.9795,23.7162,62.4,69,20,4.61,GR,1682987303
179,shizuishan,39.2333,106.7694,65.71,28,20,10.94,CN,1682987543
180,constantia,44.1833,28.65,45.7,80,1,5.84,RO,1682987543
181,port douglas,-16.4833,145.4667,80.69,72,85,10.04,AU,1682987543
182,prainha,-1.8,-53.48,74.52,95,100,2.55,BR,1682987543
183,kidal,18.4411,1.4078,88.75,10,6,4.94,ML,1682987543
184,tuba city,36.135,-111.2399,74.1,14,11,24.87,US,1682987544
185,tinajo,29.0788,-13.7081,67.08,73,0,8.05,ES,1682987544
186,aktau,43.65,51.2,57.78,88,100,23.13,KZ,1682987544
187,cabedelo,-6.9811,-34.8339,79.47,80,74,6.67,BR,1682987461
188,cockburn town,21.4612,-71.1419,80.56,79,96,4.65,TC,1682987484
189,tiznit,29.5833,-9.5,67.71,47,42,2.71,MA,1682987544
190,bardai,11.65,7.2333,81.7,22,5,9.06,NG,1682987544
191,san antonio de pale,-1.4014,5.6325,81.27,76,100,3.47,GQ,1682987544
192,mazowe,-17.504,30.9739,53.89,96,6,1.19,ZW,1682987545
193,smithers,54.7804,-127.1743,64.72,39,20,12.66,CA,1682987416
194,queenstown,-31.8976,26.8753,45.07,64,43,1.3,ZA,1682987545
195,fada,9.5667,8.3,72.41,74,82,3.38,NG,1682987545
196,jamestown,42.097,-79.2353,42.39,93,100,9.22,US,1682987357
197,spassk,52.747,87.7545,32.22,78,96,1.61,RU,1682987546
198,palangkaraya,-2.2,113.8333,84.42,72,92,2.04,ID,1682987546
199,weno,7.4515,151.8468,84.15,84,100,10.36,FM,1682987546
200,mount gambier,-37.8333,140.7667,58.98,76,18,11.65,AU,1682987546
201,lobujya,27.95,86.8167,17.69,93,100,0.76,NP,1682987546
202,kodiak,57.79,-152.4072,42.31,81,100,18.41,US,1682987546
203,harper,4.375,-7.7169,77.56,78,99,4.18,LR,1682987546
204,papatowai,-46.5619,169.4708,65.62,67,97,9.22,NZ,1682987547
205,salinopolis,-0.6136,-47.3561,78.84,86,100,7.65,BR,1682987547
